Country Name,Country Code,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
American Samoa,ASM,SE.PRM.ENRR,,,,,,,,,,
American Samoa,ASM,SE.SEC.ENRR,,,,,,,,,,
American Samoa,ASM,TX.VAL.TECH.MF.ZS,,,,,,,,,,
American Samoa,ASM,SH.IMM.MEAS,,,,,,,,,,
American Samoa,ASM,NE.IMP.GNFS.ZS,,,,,,,,,,
American Samoa,ASM,SH.STA.ACSN,62.1,62.1,62.2,62.3,62.4,62.5,62.5,62.5,62.5,
American Samoa,ASM,SH.H2O.SAFE.ZS,100,100,100,100,100,100,100,100,100,
American Samoa,ASM,SI.DST.FRST.20,,,,,,,,,,
American Samoa,ASM,NV.IND.TOTL.ZS,,,,,,,,,,
American Samoa,ASM,NY.GDP.DEFL.KD.ZG,,,,,,,,,,
American Samoa,ASM,IT.NET.USER.P2,,,,,,,,,,
American Samoa,ASM,SP.DYN.LE00.IN,,,,,,,,,,
American Samoa,ASM,TG.VAL.TOTL.GD.ZS,,,,,,,,,,
American Samoa,ASM,MS.MIL.XPND.GD.ZS,,,,,,,,,,
American Samoa,ASM,IT.CEL.SETS.P2,,,,,,,,,,
American Samoa,ASM,SH.DYN.MORT,,,,,,,,,,
American Samoa,ASM,TT.PRI.MRCH.XD.WD,172.0212181,151.990548,154.3266973,158.2149104,139.0684594,140.2677272,140.8084306,139.4074615,150.2256157,
American Samoa,ASM,SM.POP.NETM,,,,,,,,,,
American Samoa,ASM,DT.ODA.ALLD.CD,,,,,,,,,,
American Samoa,ASM,IQ.SCI.OVRL,,,,,,,,,,
American Samoa,ASM,BX.TRF.PWKR.CD.DT,,,,,,,,,,
American Samoa,ASM,EN.POP.DNST,289.52,285.155,281.13,278.18,276.58,276.135,276.51,277.17,277.69,
American Samoa,ASM,SP.POP.GROW,-1.27670071,-1.519148718,-1.421569628,-1.054880962,-0.576827614,-0.161023347,0.135711011,0.238404968,0.187434723,
American Samoa,ASM,SP.POP.TOTL,57904,57031,56226,55636,55316,55227,55302,55434,55538,
American Samoa,ASM,SI.POV.DDAY,,,,,,,,,,
American Samoa,ASM,SI.POV.NAHC,,,,,,,,,,
American Samoa,ASM,SH.DYN.AIDS.ZS,,,,,,,,,,
American Samoa,ASM,SH.STA.MALN.ZS,,,,,,,,,,
American Samoa,ASM,SE.PRM.CMPT.ZS,,,,,,,,,,
American Samoa,ASM,GC.REV.XGRT.GD.ZS,,,,,,,,,,
American Samoa,ASM,SE.ENR.PRSC.FM.ZS,,,,,,,,,,
American Samoa,ASM,NV.SRV.TETC.ZS,,,,,,,,,,
American Samoa,ASM,AG.SRF.TOTL.K2,200,200,200,200,200,200,200,200,200,
American Samoa,ASM,GC.TAX.TOTL.GD.ZS,,,,,,,,,,
American Samoa,ASM,ER.PTD.TOTL.ZS,,,,,,,,8.62,,
